variance,num
4.52E-01,1
3.22E-01,2
8.57E-02,3
4.68E-02,4
2.72E-02,5
1.95E-02,6
1.44E-02,7
1.02E-02,8
5.03E-03,9
4.62E-03,10
2.54E-03,11
1.72E-03,12
1.53E-03,13
1.16E-03,14
1.08E-03,15
8.62E-04,16
7.33E-04,17
6.86E-04,18
3.91E-04,19
3.00E-04,20
2.53E-04,21
2.18E-04,22
1.77E-04,23
1.14E-04,24
8.13E-05,25
6.03E-05,26
4.69E-05,27
3.50E-05,28
2.88E-05,29
8.84E-06,30
5.21E-06,31
2.59E-07,32
4.33E-30,33
1.49E-30,34
1.26E-30,35
9.68E-31,36
8.79E-31,37
8.24E-31,38
7.63E-31,39
7.62E-31,40
7.36E-31,41
6.88E-31,42
6.85E-31,43
6.82E-31,44
6.81E-31,45
6.78E-31,46
6.78E-31,47
6.77E-31,48
6.72E-31,49
6.70E-31,50
6.70E-31,51
6.66E-31,52
6.61E-31,53
6.60E-31,54
6.59E-31,55
6.57E-31,56
6.56E-31,57
6.43E-31,58
6.20E-31,59
5.95E-31,60
5.31E-31,61
4.71E-31,62